Plant_species,Mycorrhizal_strategy,Dourght_adaptation
Manilkara_bidentata,AM,sensitive
Manilkara_zapota,AM,sensitive
Mentha_arvensis,AM,sensitive
Mertensia_ciliata,AM,sensitive
Mertensia_virginica,AM,sensitive
Metasequoia_glyptostroboides,AM,sensitive
Mikania_scandens,AM,sensitive
Muhlenbergia_capillaris,AM,sensitive
Muhlenbergia_glomerata,AM,sensitive
Muhlenbergia_racemosa,AM,sensitive
Muhlenbergia_richardsonis,AM,sensitive
Muhlenbergia_sylvatica,AM,sensitive
Myosurus_minimus,AM,sensitive
Nandina_domestica,AM,sensitive
Nyssa_ogeche,AM,sensitive
Nyssa_sylvatica,AM,sensitive
Oemleria_cerasiformis,AM,sensitive
Oenothera_fruticosa,AM,sensitive
Osmanthus_heterophyllus,AM,sensitive
Osmorhiza_depauperata,AM,sensitive
Oxytropis_splendens,AM,sensitive
Pachysandra_terminalis,AM,sensitive
Packera_aurea,AM,sensitive
Panicum_miliaceum,AM,sensitive
Parthenocissus_tricuspidata,AM,sensitive
Paspalum_dilatatum,AM,sensitive
Passiflora_lutea,AM,sensitive
Penstemon_albertinus,AM,sensitive
Penstemon_confertus,AM,sensitive
Penstemon_cyananthus,AM,sensitive
Perideridia_gairdneri,AM,sensitive
Persea_borbonia,AM,sensitive
Persea_palustris,AM,sensitive
Phalaris_arundinacea,AM,sensitive
Philadelphus_coronarius,AM,sensitive
Phleum_alpinum,AM,sensitive
Phleum_pratense,AM,sensitive
Phlox_divaricata,AM,sensitive
Phlox_glaberrima,AM,sensitive
Aronia_arbutifolia,AM,sensitive
Phyllostachys_aurea,AM,sensitive
Physocarpus_capitatus,AM,sensitive
Planera_aquatica,AM,sensitive
Platanus_occidentalis,AM,sensitive
Podocarpus_macrophyllus,AM,sensitive
Potentilla_plattensis,AM,sensitive
Primula_incana,AM,sensitive
Pritchardia_munroi,AM,sensitive
Prunus_pensylvanica,AM,sensitive
Ptelea_trifoliata,AM,tolerant
Pterocarpus_officinalis,AM,sensitive
Pyracantha_coccinea,AM,sensitive
Pyrus_calleryana,AM,tolerant
Pyrus_communis,AM,tolerant
Ranunculus_abortivus,AM,sensitive
Ranunculus_alismifolius,AM,sensitive
Halerpestes_cymbalaria,AM,sensitive
Ranunculus_eschscholtzii,AM,sensitive
Ranunculus_flammula,AM,sensitive
Ranunculus_glaberrimus,AM,sensitive
Ranunculus_hispidus,AM,sensitive
Ranunculus_hyperboreus,AM,sensitive
Ranunculus_aquatilis_var._diffusus,AM,sensitive
Ranunculus_macounii,AM,sensitive
Ranunculus_pensylvanicus,AM,sensitive
Ranunculus_repens,AM,sensitive
Ribes_inerme,AM,sensitive
Ribes_lacustre,AM,sensitive
Ribes_nevadense,AM,sensitive
Ribes_triste,AM,sensitive
Rosa_acicularis,AM,tolerant
Rosa_palustris,AM,sensitive
Rubus_arcticus,AM,sensitive
Rubus_cuneifolius,AM,sensitive
Rubus_flagellaris,AM,sensitive
Sabal_palmetto,AM,tolerant
Sambucus_racemosa,AM,tolerant
Scolochloa_festucacea,AM,sensitive
Senecio_triangularis,AM,sensitive
Sequoia_sempervirens,AM,sensitive
Sesbania_cannabina,AM,sensitive
Setaria_italica,AM,sensitive
Setaria_pumila,AM,sensitive
Sisyrinchium_angustifolium,AM,sensitive
Sisyrinchium_idahoense,AM,sensitive
Smilax_laurifolia,AM,sensitive
Smilax_walteri,AM,sensitive
Solanum_lycopersicum,AM,sensitive
Solanum_melongena,AM,sensitive
Solidago_caesia,AM,sensitive
Solidago_fistulosa,AM,sensitive
Solidago_multiradiata,AM,sensitive
Solidago_patula,AM,sensitive
Solidago_uliginosa,AM,sensitive
Sorbus_americana,AM,sensitive
Sorbus_aucuparia,AM,sensitive
Sorghum_halepense,AM,sensitive
Sphenopholis_obtusata,AM,sensitive
Spiraea_betulifolia,AM,sensitive
Spiraea_prunifolia,AM,sensitive
Spondias_mombin,AM,sensitive
Stachys_palustris,AM,sensitive
Stenotaphrum_secundatum,AM,sensitive
Styrax_americanus,AM,tolerant
Symphyotrichum_lanceolatum,AM,sensitive
Tabebuia_heterophylla,AM,sensitive
Taxodium_distichum,AM,tolerant
Teucrium_canadense,AM,sensitive
Thuja_occidentalis,AM,tolerant
Thuja_plicata,AM,sensitive
Torreya_taxifolia,AM,sensitive
Trifolium_alexandrinum,AM,sensitive
Trifolium_fragiferum,AM,sensitive
Trifolium_hybridum,AM,sensitive
Trifolium_incarnatum,AM,sensitive
Trifolium_pratense,AM,sensitive
Trifolium_repens,AM,sensitive
Trifolium_vesiculosum,AM,sensitive
Trifolium_wormskioldii,AM,sensitive
Tripsacum_dactyloides,AM,sensitive
Ulmus_alata,AM,tolerant
Umbellularia_californica,AM,sensitive
Veratrum_californicum,AM,sensitive
Vernonia_missurica,AM,sensitive
Viburnum_dentatum,AM,sensitive
Viburnum_edule,AM,sensitive
