Plant_species,Mycorrhizal_strategy,Drought_adaptation
Eriophorum_virginicum,NR,sensitive
Pedicularis_groenlandica,NR,sensitive
Scirpus_atrovirens,NR,sensitive
Scirpus_cyperinus,NR,sensitive
Scirpus_georgianus,NR,sensitive
Scirpus_pallidus,NR,sensitive
Scirpus_pedicellatus,NR,sensitive
Stellaria_longipes,NR,sensitive
Carex_aurea,NR,sensitive
Carex_bella,NR,sensitive
Carex_canescens,NR,sensitive
Carex_debilis,NR,sensitive
Carex_diandra,NR,sensitive
Carex_intumescens,NR,sensitive
Carex_joorii,NR,sensitive
Carex_leptalea,NR,sensitive
Carex_limosa,NR,sensitive
Carex_luzulina,NR,sensitive
Carex_squarrosa,NR,sensitive
Carex_subspathacea,NR,sensitive
Carex_trisperma,NR,sensitive
Cyperus_acuminatus,NR,sensitive
Cyperus_pseudovegetus,NR,sensitive
Elodea_canadensis,NR,sensitive
Eriophorum_angustifolium,NR,sensitive
Eriophorum_gracile,NR,sensitive
Nymphaea_mexicana,NR,sensitive
Papaver_gorodkovii,NR,sensitive
Polemonium_acutiflorum,NR,sensitive
Polemonium_occidentale,NR,sensitive
Schoenoplectus_tabernaemontani,NR,sensitive
Scirpus_microcarpus,NR,sensitive
Scirpus_pendulus,NR,sensitive
Sparganium_americanum,NR,sensitive
Sparganium_eurycarpum,NR,sensitive
Stellaria_longifolia,NR,sensitive
Atriplex_canescens,NR,tolerant
Atriplex_lentiformis,NR,tolerant
Atriplex_nummularia,NR,tolerant
Carex_geyeri,NR,tolerant
Carex_kobomugi,NR,tolerant
Atriplex_semibaccata,NR,tolerant
Carex_cephalophora,NR,tolerant
Carex_deweyana,NR,tolerant
Carex_mertensii,NR,tolerant
Carex_raynoldsii,NR,tolerant
Cyperus_erythrorhizos,NR,tolerant
Cyperus_esculentus,NR,tolerant
