Plant_species,Mycorrhizal_strategy,Drought_adaptation
Artemisia_ludoviciana,AM,tolerant
Artemisia_nova,AM,tolerant
Artemisia_rigida,AM,tolerant
Artemisia_tridentata,AM,tolerant
Artemisia_tripartita,AM,tolerant
Berberis_fendleri,AM,tolerant
Bromus_anomalus,AM,tolerant
Bromus_rubens,AM,tolerant
Cornus_rugosa,AM,tolerant
Cotoneaster_integerrimus,AM,tolerant
Crepis_acuminata,AM,tolerant
Cytisus_scoparius,AM,tolerant
Delphinium_andersonii,AM,tolerant
Elymus_elymoides,AM,tolerant
Elymus_glaucus,AM,tolerant
Elymus_sibiricus,AM,tolerant
Elymus_trachycaulus,AM,tolerant
Ephedra_torreyana,AM,tolerant
Ephedra_viridis,AM,tolerant
Erigeron_compositus,AM,tolerant
Erigeron_eatonii,AM,tolerant
Erigeron_linearis,AM,tolerant
Erodium_botrys,AM,tolerant
Festuca_californica,AM,tolerant
Geum_triflorum,AM,tolerant
Juniperus_communis,AM,tolerant
Juniperus_monosperma,AM,tolerant
Juniperus_occidentalis,AM,tolerant
Juniperus_osteosperma,AM,tolerant
Juniperus_scopulorum,AM,tolerant
Juniperus_virginiana,AM,tolerant
Koeleria_macrantha,AM,tolerant
Lathyrus_latifolius,AM,tolerant
Lathyrus_sylvestris,AM,tolerant
Leymus_angustus,AM,tolerant
Leymus_racemosus,AM,tolerant
Leymus_salinus,AM,tolerant
Leymus_triticoides,AM,tolerant
Berberis_aquifolium,AM,tolerant
Berberis_nervosa,AM,tolerant
Berberis_repens,AM,tolerant
Medicago_sativa,AM,tolerant
Melilotus_officinalis,AM,tolerant
Philadelphus_microphyllus,AM,tolerant
Plantago_patagonica,AM,tolerant
Platanus_wrightii,AM,tolerant
Rhamnus_crocea,AM,tolerant
Ribes_americanum,AM,tolerant
Ribes_cereum,AM,tolerant
Ribes_erythrocarpum,AM,tolerant
Ribes_montigenum,AM,tolerant
Ribes_roezlii,AM,tolerant
Ribes_viburnifolium,AM,tolerant
Rosa_carolina,AM,tolerant
Rosa_rugosa,AM,tolerant
Rubus_allegheniensis,AM,tolerant
Rubus_idaeus,AM,tolerant
Rubus_spectabilis,AM,tolerant
Solidago_missouriensis,AM,tolerant
Tragopogon_dubius,AM,tolerant
Ulmus_pumila,AM,tolerant
Viburnum_acerifolium,AM,tolerant
Vicia_americana,AM,tolerant
Vicia_cracca,AM,tolerant
Achillea_millefolium,AM,tolerant
Agrostis_idahoensis,AM,tolerant
Allium_acuminatum,AM,tolerant
Allium_douglasii,AM,tolerant
Ammophila_arenaria,AM,tolerant
Ammophila_breviligulata,AM,tolerant
Aquilegia_formosa,AM,tolerant
Arnica_mollis,AM,tolerant
Arrhenatherum_elatius,AM,tolerant
Artemisia_furcata,AM,tolerant
Avena_fatua,AM,tolerant
Briza_maxima,AM,tolerant
Bromus_briziformis,AM,tolerant
Bromus_carinatus,AM,tolerant
Bromus_inermis,AM,tolerant
Cichorium_intybus,AM,tolerant
Clematis_ligusticifolia,AM,tolerant
Clematis_virginiana,AM,tolerant
Cornus_florida,AM,tolerant
Cornus_mas,AM,tolerant
Cornus_racemosa,AM,tolerant
Cotoneaster_acutifolius,AM,tolerant
Cotoneaster_horizontalis,AM,tolerant
Dactylis_glomerata,AM,tolerant
Danthonia_californica,AM,tolerant
Danthonia_compressa,AM,tolerant
Danthonia_intermedia,AM,tolerant
Digitaria_eriantha,AM,tolerant
Elymus_canadensis,AM,tolerant
Elymus_virginicus,AM,tolerant
Erigeron_strigosus,AM,tolerant
Fragaria_chiloensis,AM,tolerant
Holcus_lanatus,AM,tolerant
Hordeum_brachyantherum,AM,tolerant
Hordeum_vulgare,AM,tolerant
Iris_bracteata,AM,tolerant
Iris_tenax,AM,tolerant
Juniperus_chinensis,AM,tolerant
Lathyrus_japonicus,AM,tolerant
Lathyrus_polyphyllus,AM,tolerant
Lathyrus_tuberosus,AM,tolerant
Leucanthemum_vulgare,AM,tolerant
Leymus_arenarius,AM,tolerant
Leymus_cinereus,AM,tolerant
Ligustrum_obtusifolium,AM,tolerant
Ligustrum_ovalifolium,AM,tolerant
Ligustrum_vulgare,AM,tolerant
Linum_lewisii,AM,tolerant
Lonicera_japonica,AM,tolerant
Lonicera_tatarica,AM,tolerant
Lotus_corniculatus,AM,tolerant
Melica_californica,AM,tolerant
Oenothera_biennis,AM,tolerant
Onobrychis_viciifolia,AM,tolerant
Philadelphus_lewisii,AM,tolerant
Plantago_major,AM,tolerant
Platanus_racemosa,AM,tolerant
Prunella_vulgaris,AM,tolerant
Ribes_aureum,AM,tolerant
Ribes_hudsonianum,AM,tolerant
Ribes_sanguineum,AM,tolerant
Ribes_viscosissimum,AM,tolerant
Rosa_californica,AM,tolerant
Rosa_woodsii,AM,tolerant
Rubus_occidentalis,AM,tolerant
Rubus_odoratus,AM,tolerant
Rubus_ursinus,AM,tolerant
Senecio_vulgaris,AM,tolerant
Solidago_canadensis,AM,tolerant
Solidago_flexicaulis,AM,tolerant
Solidago_gigantea,AM,tolerant
Solidago_nemoralis,AM,tolerant
Solidago_rugosa,AM,tolerant
Solidago_sempervirens,AM,tolerant
Spiraea_douglasii,AM,tolerant
