Plant species,Latitude,Longitude
Solanum lycopersicum,52.2,5.4
Solanum lycopersicum,52.2,5.4
Solanum melongena,8.6,0.8
Zea mays,30.4,69.4
Zea mays,30.4,69.4
Zea mays,30.967,66.517
Lolium perenne,49.8,19.5
Lolium perenne,49.8,19.5
Lolium perenne,49.8,19.5
Lolium perenne,49.8,19.5
Lolium perenne,49.8,19.5
Lolium perenne,49.8,19.5
Lolium perenne,49.8,19.5
Lolium perenne,49.8,19.5
Lolium perenne,49.8,19.5
Lolium perenne,49.8,19.5
Lolium perenne,49.8,19.5
Lolium perenne,49.8,19.5
Lolium perenne,49.8,19.5
Lolium perenne,49.8,19.5
Lolium perenne,49.8,19.5
Lolium perenne,49.8,19.5
Lolium perenne,49.8,19.5
Lolium perenne,49.8,19.5
Lolium perenne,49.8,19.5
Lolium perenne,49.8,19.5
Lolium perenne,49.8,19.5
Solanum lycopersicum,48,-125
Lolium perenne,49.8,19.5
Lolium perenne,49.8,19.5
Lolium perenne,49.8,19.5
Lolium perenne,49.8,19.5
Lolium perenne,49.8,19.5
Lolium perenne,49.8,19.5
Lolium perenne,49.8,19.5
Lolium perenne,49.8,19.5
Lolium perenne,49.8,19.5
Solanum lycopersicum,48,-125
Solanum lycopersicum,48,-125
Solanum lycopersicum,48,-125
Solanum lycopersicum,48,-125
Solanum lycopersicum,55.4,-3.4
Solanum lycopersicum,48,-125
Solanum lycopersicum,48,-125
Lolium perenne,49.8,19.5
Lolium perenne,49.8,19.5
Lolium perenne,49.8,19.5
Solanum melongena,35,35.883
Lolium perenne,49.8,19.5
Lolium perenne,49.8,19.5
Zea mays,51.2,10.5
Zea mays,51.2,10.5
Zea mays,51.2,10.5
Zea mays,51.2,10.5
Zea mays,48,-125
Zea mays,24,-103
Zea mays,52.2,5.4
Zea mays,52.2,5.4
Zea mays,24,-103
Zea mays,24,-103
Zea mays,24,-103
Zea mays,52.2,5.4
Zea mays,52.2,5.4
Zea mays,48,-125
Zea mays,52.2,5.4
Zea mays,36.083,71.833
Zea mays,36.067,71.817
Zea mays,34.9,72.55
Zea mays,35.517,72.55
Zea mays,36.1,72.45
Zea mays,35,71.7
Zea mays,30.4,69.4
Zea mays,34.9,72.55
Zea mays,34.917,72.517
Zea mays,48,-125
Zea mays,36,-6
Zea mays,48,-125
Zea mays,47.2,19.5
Zea mays,48,-125
Zea mays,52.2,5.4
Zea mays,51.2,10.5
Lolium perenne,39,34.9
Solanum melongena,48,-125
Solanum melongena,48,-125
Solanum melongena,19,85
Solanum melongena,48,-125
Solanum melongena,48,-125
Solanum melongena,45.7,2.9
Solanum melongena,36,-6
Solanum melongena,18.8,76.8
Solanum melongena,39.833,34.8
Solanum melongena,34.3,58.3
Solanum melongena,32.383,48.4
Solanum melongena,48.5,128
Lolium perenne,52.2,5.4
Solanum melongena,48.5,128
Solanum melongena,34.317,47.067
Lolium perenne,52.2,5.4
Solanum melongena,34.517,45.583
Solanum melongena,13.083,80.283
Solanum melongena,22.55,80.383
Solanum melongena,31.583,74.883
Solanum melongena,31.583,74.883
Solanum melongena,25.983,76.367
Solanum melongena,26.917,75.817
Solanum melongena,18.533,73.867
Solanum melongena,37.017,35.3
Solanum melongena,36.617,36.117
Lolium perenne,52.2,5.4
Solanum melongena,36.7,33.8
Solanum melongena,38.6,27.433
Solanum melongena,38.4,27
Solanum melongena,39.117,27.183
Solanum melongena,39.117,27.183
Solanum melongena,39.783,26.333
Solanum melongena,41.433,27.1
Solanum melongena,36.967,38.4
Solanum melongena,37.3,40.733
Solanum melongena,36,104
Solanum melongena,36,104
Phleum pratense,52.2,5.4
Phleum pratense,52.2,5.4
Phleum pratense,52.2,5.4
Phleum pratense,52.2,5.4
Phleum pratense,52.2,5.4
Lolium perenne,55.4,-3.4
Lolium perenne,55.4,-3.4
Lolium perenne,55.4,-3.4
Lolium perenne,55.4,-3.4
Lolium perenne,55.4,-3.4
Phleum pratense,52.2,5.4
Lolium perenne,55.4,-3.4
Lolium perenne,55.4,-3.4
Lolium perenne,55.4,-3.4
Lolium perenne,55.4,-3.4
Lolium perenne,55.4,-3.4
Lolium perenne,55.4,-3.4
Lolium perenne,55.4,-3.4
Lolium perenne,55.4,-3.4
Lolium perenne,55.4,-3.4
Lolium perenne,55.4,-3.4
Lolium perenne,55.4,-3.4
Lolium perenne,55.4,-3.4
Lolium perenne,55.4,-3.4
Lolium perenne,55.4,-3.4
Lolium perenne,55.4,-3.4
Lolium perenne,55.4,-3.4
Lolium perenne,55.4,-3.4
Lolium perenne,55.4,-3.4
Lolium perenne,55.4,-3.4
Lolium perenne,55.4,-3.4
Lolium perenne,55.4,-3.4
Lolium perenne,55.4,-3.4
Solanum melongena,41.433,22.65
Solanum melongena,40.2,47.7
Lolium perenne,55.4,-3.4
Lolium perenne,55.4,-3.4
Solanum melongena,56,10.7
Solanum melongena,52.2,5.4
Solanum melongena,48,-125
Solanum melongena,45.7,2.9
Solanum melongena,18.533,73.867
Lolium perenne,55.4,-3.4
Solanum melongena,48,-125
Lolium perenne,55.4,-3.4
Lolium perenne,55.4,-3.4
Lolium perenne,39,34.9
Lolium perenne,39,34.9
Lolium perenne,55.4,-3.4
Lolium perenne,55.4,-3.4
Lolium perenne,55.4,-3.4
Lolium perenne,55.4,-3.4
Phleum pratense,47.2,19.5
Phleum pratense,47.2,19.5
