Plant species,Latitude,Longitude
Ulmus glabra,51.09,10.46
Ulmus laevis,53.02,13.87
Ulmus glabra,48.48,9.48
Ulmus laevis,53.02,13.87
Ulmus glabra,51.09,10.46
Ulmus glabra,48.4,9.44
Ulmus glabra,51.29,10.21
Ulmus glabra,48.4,9.34
Ulmus glabra,51.09,10.46
Ulmus glabra,48.46,9.44
Ulmus glabra,51.08,10.46
Ulmus glabra,48.41,9.44
Ulmus glabra,48.47,9.43
Ulmus glabra,48.44,9.47
Ulmus glabra,48.44,9.48
Ulmus glabra,48.45,9.47
Ulmus glabra,48.39,9.44
Ulmus glabra,48.38,9.24
Ulmus glabra,51.19,10.3
Ulmus glabra,51.2,10.34
Ulmus glabra,48.37,9.4
Ulmus glabra,51.27,10.24
Ulmus glabra,48.5,9.39
Ulmus glabra,51.09,10.46
Ulmus glabra,51.09,10.46
Ulmus glabra,51.27,10.24
Ulmus glabra,51.2,10.34
Ulmus glabra,48.48,9.48
Ulmus glabra,51.28,10.23
Ulmus glabra,48.44,9.48
Ulmus glabra,51.27,10.24
Ulmus glabra,48.45,9.47
Ulmus glabra,51.19,10.3
Ulmus glabra,51.18,10.38
Ulmus glabra,48.39,9.44
Ulmus glabra,51.28,10.23
Ulmus glabra,51.19,10.33
Ulmus glabra,53.06,13.94
Ulmus glabra,48.39,9.45
Ulmus glabra,51.27,10.24
Ulmus glabra,51.18,10.38
Ulmus glabra,48.39,9.45
Ulmus glabra,48.4,9.47
Ulmus glabra,51.12,10.37
Ulmus glabra,51.09,10.46
Digitalis purpurea,53.06,13.87
Digitalis purpurea,52.89,13.65
Phleum pratense,48.44,9.47
Phleum pratense,48.37,9.23
Phleum pratense,48.4,9.44
Prunus padus,48.4,9.44
Prunus padus,48.4,9.44
Prunus padus,48.41,9.44
Phleum pratense,53.01,13.86
Phleum pratense,48.39,9.33
Phleum pratense,48.38,9.22
Prunus padus,53.01,13.87
Phleum pratense,48.43,9.34
Phalaris arundinacea,53.01,13.85
Phleum pratense,51.28,10.21
Phleum pratense,48.39,9.44
Phleum pratense,48.39,9.44
Phalaris arundinacea,52.92,13.87
Phalaris arundinacea,51.33,10.37
Phleum pratense,48.38,9.34
Prunus padus,48.4,9.44
Prunus padus,48.41,9.44
Prunus padus,48.4,9.44
Prunus padus,53.02,13.84
Prunus padus,48.4,9.44
Convallaria majalis,51.14,10.38
Convallaria majalis,51.15,10.37
Convallaria majalis,51.15,10.38
Convallaria majalis,51.09,10.46
Convallaria majalis,51.09,10.45
Convallaria majalis,51.15,10.38
Convallaria majalis,51.14,10.38
Convallaria majalis,51.14,10.39
Convallaria majalis,51.13,10.38
Convallaria majalis,51.14,10.38
Convallaria majalis,51.14,10.39
Convallaria majalis,51.08,10.5
Convallaria majalis,51.08,10.5
Convallaria majalis,51.15,10.37
Convallaria majalis,51.13,10.38
Convallaria majalis,51.13,10.37
Convallaria majalis,51.15,10.38
Convallaria majalis,53,13.85
Convallaria majalis,51.15,10.38
Convallaria majalis,51.33,10.36
Convallaria majalis,53.05,13.84
Convallaria majalis,51.33,10.36
Convallaria majalis,51.04,10.47
Convallaria majalis,51.09,10.46
Convallaria majalis,51.08,10.5
Convallaria majalis,51.08,10.5
Convallaria majalis,51.08,10.5
Convallaria majalis,51.33,10.37
Convallaria majalis,51.09,10.45
Convallaria majalis,51.05,10.47
Convallaria majalis,51.09,10.46
Convallaria majalis,51.09,10.46
Convallaria majalis,51.09,10.46
Convallaria majalis,51.33,10.37
Convallaria majalis,51.33,10.36
Convallaria majalis,51.19,10.36
Convallaria majalis,51.14,10.38
Convallaria majalis,51.09,10.45
Convallaria majalis,51.09,10.46
Convallaria majalis,51.08,10.5
Convallaria majalis,51.33,10.36
Convallaria majalis,51.14,10.39
Convallaria majalis,51.33,10.36
Convallaria majalis,51.08,10.5
Convallaria majalis,51.08,10.5
Convallaria majalis,51.08,10.5
Convallaria majalis,51.08,10.5
Convallaria majalis,51.14,10.39
Convallaria majalis,51.09,10.46
Convallaria majalis,51.15,10.37
Convallaria majalis,51.08,10.5
Convallaria majalis,51.14,10.39
Convallaria majalis,51.15,10.38
Convallaria majalis,51.34,10.37
Convallaria majalis,51.13,10.39
Convallaria majalis,51.05,10.47
Convallaria majalis,51.05,10.47
Convallaria majalis,51.05,10.47
Convallaria majalis,51.05,10.5
Convallaria majalis,51.21,10.38
Convallaria majalis,51.09,10.46
Convallaria majalis,51.34,10.36
Convallaria majalis,51.08,10.5
Convallaria majalis,51.08,10.5
Convallaria majalis,51.05,10.49
Convallaria majalis,51.34,10.36
Convallaria majalis,51.08,10.5
Convallaria majalis,51.12,10.37
Convallaria majalis,51.19,10.36
Convallaria majalis,51.21,10.39
Convallaria majalis,51.04,10.47
Convallaria majalis,51.34,10.36
Convallaria majalis,51.33,10.36
Convallaria majalis,51.19,10.36
Convallaria majalis,51.21,10.39
Convallaria majalis,51.04,10.47
Convallaria majalis,51.26,10.22
Convallaria majalis,51.08,10.5
Convallaria majalis,51.15,10.37
Convallaria majalis,51.15,10.38
Convallaria majalis,51.15,10.37
Convallaria majalis,53.05,13.84
Lolium perenne,48.4,9.44
Mentha arvensis,51.05,10.49
Mentha arvensis,51.05,10.49
Mentha arvensis,51.05,10.49
Mentha arvensis,51.05,10.5
Lolium perenne,48.39,9.44
Lolium perenne,48.39,9.44
Bidens cernua,53,13.85
Avena sativa,52.89,13.91
Ulmus laevis,53,13.84
Ulmus laevis,53.02,13.86
Ulmus glabra,51.09,10.45
Ulmus glabra,51.09,10.46
Ulmus laevis,53,13.84
Ulmus laevis,53,13.84
Ulmus glabra,51.09,10.45
Ulmus glabra,53.06,13.94
Ulmus laevis,53.01,13.84
Ulmus laevis,53,13.83
Ulmus glabra,51.09,10.46
Ulmus glabra,53.05,13.94
Sambucus racemosa,48.39,9.34
Sambucus racemosa,48.43,9.34
Viburnum lantana,48.47,9.43
Sambucus racemosa,48.38,9.34
Sambucus racemosa,48.43,9.34
Sambucus racemosa,48.39,9.33
Sambucus racemosa,48.39,9.34
Sambucus racemosa,48.38,9.32
Sambucus racemosa,48.39,9.34
Sambucus racemosa,48.38,9.22
Sambucus racemosa,48.39,9.34
Sambucus racemosa,48.39,9.26
Sambucus racemosa,48.49,9.32
Sambucus racemosa,48.37,9.23
Sambucus racemosa,48.4,9.34
Sambucus racemosa,48.43,9.34
Sambucus racemosa,48.39,9.33
Sambucus racemosa,48.39,9.26
Sambucus racemosa,48.38,9.35
Sambucus racemosa,48.39,9.24
Sambucus racemosa,48.4,9.26
Sambucus racemosa,48.39,9.34
Vicia sativa,53.07,13.86
Viburnum lantana,48.5,9.4
Viburnum lantana,48.44,9.47
Viburnum lantana,48.44,9.48
Viburnum lantana,48.45,9.48
Viburnum lantana,48.48,9.41
Viburnum lantana,48.38,9.41
Viburnum lantana,48.37,9.41
Viburnum lantana,48.36,9.4
Viburnum lantana,48.5,9.4
Viburnum lantana,48.44,9.48
Sambucus racemosa,48.39,9.45
Sambucus racemosa,48.39,9.44
Sambucus racemosa,48.42,9.44
Sambucus racemosa,48.39,9.44
Sambucus racemosa,48.48,9.43
Sambucus racemosa,48.39,9.46
Sambucus racemosa,48.44,9.47
Sambucus racemosa,48.38,9.35
Sambucus racemosa,48.4,9.46
Sambucus racemosa,48.4,9.44
Sambucus racemosa,48.39,9.36
Sambucus racemosa,48.39,9.46
Sambucus racemosa,48.43,9.42
Sambucus racemosa,48.4,9.47
Sambucus racemosa,48.4,9.46
Sambucus racemosa,48.48,9.51
Sambucus racemosa,48.39,9.45
Sambucus racemosa,48.39,9.44
Sambucus racemosa,48.37,9.42
Sambucus racemosa,48.38,9.43
Sambucus racemosa,48.39,9.46
Sambucus racemosa,48.38,9.41
Sambucus racemosa,48.4,9.48
Sambucus racemosa,48.4,9.46
Sambucus racemosa,48.48,9.48
Sambucus racemosa,48.44,9.47
Sambucus racemosa,48.48,9.48
Sambucus racemosa,48.39,9.45
Sambucus racemosa,48.39,9.47
Sambucus racemosa,48.46,9.45
Sambucus racemosa,48.39,9.45
Sambucus racemosa,48.44,9.47
Sambucus racemosa,48.45,9.47
Sambucus racemosa,48.37,9.42
Sambucus racemosa,48.39,9.45
Sambucus racemosa,48.41,9.44
Sambucus racemosa,48.44,9.47
Sambucus racemosa,48.39,9.46
Sambucus racemosa,48.39,9.44
Sambucus racemosa,48.44,9.48
Sambucus racemosa,48.41,9.43
Sambucus racemosa,48.39,9.46
Sambucus racemosa,48.48,9.48
Sambucus racemosa,48.4,9.45
Sambucus racemosa,48.42,9.45
Sambucus racemosa,48.45,9.42
Sambucus racemosa,48.4,9.42
Sambucus racemosa,48.38,9.42
Sambucus racemosa,48.39,9.44
Sambucus racemosa,48.38,9.37
Sambucus racemosa,48.39,9.41
Sambucus racemosa,48.38,9.34
Sambucus racemosa,48.39,9.25
Sambucus racemosa,48.49,9.41
Ribes nigrum,48.4,9.44
Sambucus racemosa,48.43,9.42
Sambucus racemosa,48.38,9.38
Sambucus racemosa,48.46,9.44
Sambucus racemosa,48.42,9.35
Sambucus racemosa,48.42,9.36
Sambucus racemosa,48.37,9.39
Sambucus racemosa,48.49,9.41
Sambucus racemosa,48.49,9.43
Sambucus racemosa,48.38,9.42
Sambucus racemosa,48.39,9.43
Sambucus racemosa,48.37,9.39
Sambucus racemosa,48.43,9.34
Sambucus racemosa,48.42,9.42
Sambucus racemosa,48.49,9.43
Sambucus racemosa,48.41,9.44
Sambucus racemosa,48.38,9.42
Sambucus racemosa,48.45,9.41
Ranunculus repens,53.04,13.92
Ribes nigrum,48.49,9.41
Ribes nigrum,48.42,9.45
Sambucus racemosa,48.48,9.36
Sambucus racemosa,48.38,9.34
Sambucus racemosa,48.38,9.24
Sambucus racemosa,48.41,9.36
Sambucus racemosa,48.38,9.35
Sambucus racemosa,48.38,9.35
Sambucus racemosa,48.38,9.35
Sambucus racemosa,48.39,9.34
Sambucus racemosa,48.39,9.27
Sambucus racemosa,48.36,9.26
Sambucus racemosa,48.42,9.34
Sambucus racemosa,48.37,9.31
Sambucus racemosa,48.38,9.34
Sambucus racemosa,48.42,9.36
Sambucus racemosa,48.4,9.34
Sambucus racemosa,48.38,9.36
Sambucus racemosa,48.39,9.34
Sambucus racemosa,48.41,9.37
Sambucus racemosa,48.43,9.34
Sambucus racemosa,48.45,9.41
Sambucus racemosa,48.41,9.35
Sambucus racemosa,48.38,9.35
Sambucus racemosa,48.38,9.39
Sambucus racemosa,48.43,9.42
Sambucus racemosa,48.41,9.34
Sambucus racemosa,48.37,9.37
Sambucus racemosa,48.49,9.41
Sambucus racemosa,48.43,9.34
Sambucus racemosa,48.38,9.41
Sambucus racemosa,48.39,9.41
Sambucus racemosa,48.37,9.37
Sambucus racemosa,48.41,9.37
Sambucus racemosa,48.42,9.42
Sambucus racemosa,48.42,9.36
Sambucus racemosa,48.45,9.42
Sambucus racemosa,48.42,9.34
Sambucus racemosa,48.41,9.37
Sambucus racemosa,48.38,9.4
Sambucus racemosa,53.02,13.87
Sambucus racemosa,51.14,10.39
Sambucus racemosa,53.01,13.87
Sambucus racemosa,53.06,13.94
Sambucus racemosa,53.06,13.94
Sambucus racemosa,53.08,13.86
Sambucus racemosa,51.08,10.5
Sambucus racemosa,51.14,10.38
Sambucus racemosa,51.27,10.24
Sambucus racemosa,53.01,13.86
Sambucus racemosa,51.14,10.38
Sambucus racemosa,48.39,9.49
Sambucus racemosa,51.13,10.39
Sambucus racemosa,51.14,10.39
Sambucus racemosa,51.15,10.38
Sambucus racemosa,51.33,10.36
Sambucus racemosa,51.15,10.37
Sambucus racemosa,52.92,13.84
Sambucus racemosa,51.08,10.5
Sambucus racemosa,51.09,10.45
Sambucus racemosa,52.9,13.85
Sambucus racemosa,51.28,10.21
Sambucus racemosa,51.2,10.32
Sambucus racemosa,53.01,13.87
Sambucus racemosa,52.95,13.82
Sambucus racemosa,51.12,10.36
Sambucus racemosa,48.48,9.49
Sambucus racemosa,48.48,9.48
Sambucus racemosa,51.05,10.49
Sambucus racemosa,51.12,10.37
Sambucus racemosa,48.4,9.47
Sambucus racemosa,51.18,10.38
Sambucus racemosa,48.4,9.44
Sambucus racemosa,51.33,10.37
Sambucus racemosa,51.19,10.32
Sambucus racemosa,51.2,10.34
Sambucus racemosa,48.48,9.48
Sambucus racemosa,51.19,10.3
Sambucus racemosa,48.4,9.48
Sambucus racemosa,51.12,10.36
Sambucus racemosa,51.2,10.34
Sambucus racemosa,48.44,9.47
Sambucus racemosa,48.44,9.48
Sambucus racemosa,48.39,9.45
Sambucus racemosa,48.48,9.48
Sambucus racemosa,48.44,9.47
Sambucus racemosa,51.19,10.3
Sambucus racemosa,48.4,9.49
Sambucus racemosa,51.19,10.31
Sambucus racemosa,53.02,13.86
Sambucus racemosa,51.2,10.32
Sambucus racemosa,51.19,10.3
Sambucus racemosa,51.12,10.37
Sambucus racemosa,48.39,9.47
Sambucus racemosa,51.2,10.32
Sambucus racemosa,51.33,10.36
Sambucus racemosa,48.48,9.49
Sambucus racemosa,48.48,9.49
Sambucus racemosa,48.48,9.48
Sambucus racemosa,48.39,9.49
Sambucus racemosa,51.2,10.32
Sambucus racemosa,51.2,10.39
Sambucus racemosa,48.48,9.49
Sambucus racemosa,51.08,10.5
Sambucus racemosa,48.4,9.49
Sambucus racemosa,48.39,9.45
Sambucus racemosa,51.19,10.32
Sambucus racemosa,51.19,10.3
Sambucus racemosa,51.18,10.38
Convallaria majalis,48.44,9.42
Agrostis capillaris,51.09,10.45
Agrostis capillaris,53.01,13.83
Agrostis capillaris,53,13.83
Agrostis capillaris,51.18,10.38
Agrostis capillaris,51.19,10.38
Agrostis capillaris,48.48,9.51
Agrostis capillaris,48.4,9.44
Agrostis capillaris,53,13.85
Convallaria majalis,48.5,9.4
Agrostis capillaris,48.37,9.41
Agrostis capillaris,48.38,9.34
Agrostis capillaris,48.47,9.43
Agrostis capillaris,48.48,9.49
Agrostis capillaris,48.48,9.48
Agrostis capillaris,48.36,9.26
Agrostis capillaris,48.39,9.44
Agrostis capillaris,48.45,9.42
Agrostis capillaris,48.38,9.35
Agrostis capillaris,48.42,9.39
Agrostis capillaris,48.38,9.22
Agrostis capillaris,48.41,9.44
Agrostis capillaris,48.42,9.42
Agrostis capillaris,48.41,9.34
Agrostis capillaris,48.37,9.37
Agrostis capillaris,53.01,13.83
Agrostis capillaris,48.37,9.41
Agrostis capillaris,48.48,9.43
Agrostis capillaris,48.48,9.5
Agrostis capillaris,53.01,13.84
Agrostis capillaris,48.4,9.47
Agrostis capillaris,48.4,9.44
Agrostis capillaris,53.01,13.83
Agrostis capillaris,51.2,10.34
Agrostis capillaris,48.48,9.48
Agrostis capillaris,48.46,9.44
Agrostis capillaris,48.4,9.42
Agrostis capillaris,48.48,9.48
Agrostis capillaris,48.38,9.38
Agrostis capillaris,48.39,9.44
Agrostis capillaris,48.39,9.47
Agrostis capillaris,48.48,9.48
Agrostis capillaris,51.18,10.37
Agrostis capillaris,51.27,10.21
Agrostis capillaris,48.41,9.44
Agrostis capillaris,48.37,9.23
Agrostis capillaris,48.38,9.35
Agrostis capillaris,48.41,9.37
Agrostis capillaris,48.39,9.25
Agrostis capillaris,48.38,9.35
Agrostis capillaris,48.37,9.25
Agrostis capillaris,48.49,9.32
Agrostis capillaris,48.37,9.42
Agrostis capillaris,48.38,9.23
Agrostis capillaris,48.41,9.37
Agrostis capillaris,48.43,9.34
Agrostis capillaris,48.41,9.44
Agrostis capillaris,48.37,9.41
Agrostis capillaris,48.47,9.43
Agrostis capillaris,48.41,9.35
Agrostis capillaris,48.38,9.38
Agrostis capillaris,48.4,9.34
Agrostis capillaris,48.39,9.39
Agrostis capillaris,48.39,9.33
Agrostis capillaris,48.37,9.22
Agrostis capillaris,48.48,9.49
Agrostis capillaris,48.38,9.34
Agrostis capillaris,48.39,9.26
Agrostis capillaris,48.38,9.39
Agrostis capillaris,48.38,9.22
Convallaria majalis,51.19,10.36
Convallaria majalis,51.18,10.38
Convallaria majalis,51.19,10.36
Convallaria majalis,51.05,10.47
Convallaria majalis,51.21,10.39
Convallaria majalis,51.33,10.36
Convallaria majalis,48.48,9.41
Convallaria majalis,51.19,10.36
Convallaria majalis,51.33,10.36
Convallaria majalis,48.45,9.47
Convallaria majalis,51.19,10.38
Convallaria majalis,48.45,9.44
Convallaria majalis,48.49,9.41
Convallaria majalis,51.18,10.37
Convallaria majalis,51.12,10.36
Agrostis capillaris,53.07,13.93
Agrostis capillaris,53.06,13.86
Agrostis capillaris,53.07,13.86
Agrostis capillaris,53.07,13.86
Agrostis capillaris,53.06,13.89
Convallaria majalis,48.5,9.4
Agrostis capillaris,53.04,13.92
Agrostis capillaris,53,13.9
Agrostis capillaris,53.06,13.86
Agrostis capillaris,53.06,13.86
Convallaria majalis,48.48,9.41
Convallaria majalis,51.18,10.38
Convallaria majalis,51.05,10.46
Convallaria majalis,48.44,9.42
Convallaria majalis,51.19,10.38
Convallaria majalis,48.47,9.43
Convallaria majalis,51.18,10.37
Convallaria majalis,48.42,9.39
Convallaria majalis,51.2,10.39
Agrostis capillaris,53.07,13.93
Agrostis capillaris,53.05,13.89
Agrostis capillaris,53.06,13.93
Agrostis capillaris,53.07,13.93
Agrostis capillaris,53.06,13.91
Agrostis capillaris,53.07,13.86
Convallaria majalis,48.44,9.48
Agrostis capillaris,53.02,13.86
Convallaria majalis,48.49,9.41
Agrostis capillaris,53.06,13.91
Agrostis capillaris,53.06,13.86
Convallaria majalis,51.05,10.46
Convallaria majalis,51.18,10.38
Convallaria majalis,51.18,10.38
Convallaria majalis,51.2,10.34
Convallaria majalis,51.19,10.36
Convallaria majalis,48.41,9.44
Convallaria majalis,51.21,10.39
Convallaria majalis,51.19,10.38
Convallaria majalis,51.18,10.37
Convallaria majalis,51.19,10.36
Convallaria majalis,51.2,10.39
Convallaria majalis,51.05,10.48
Convallaria majalis,48.45,9.47
Convallaria majalis,51.19,10.39
Convallaria majalis,51.19,10.36
Convallaria majalis,51.05,10.47
Convallaria majalis,51.11,10.37
Convallaria majalis,48.44,9.47
Agrostis capillaris,53.06,13.93
Agrostis capillaris,53.05,13.93
Agrostis capillaris,53.08,13.8
Agrostis capillaris,53.05,13.94
Agrostis capillaris,53.06,13.86
Agrostis capillaris,53.06,13.85
Agrostis capillaris,53.04,13.93
Agrostis capillaris,53.05,13.94
Convallaria majalis,48.44,9.48
Agrostis capillaris,53,13.85
Agrostis capillaris,53.01,13.84
Agrostis capillaris,53.02,13.86
Agrostis capillaris,53.01,13.84
Agrostis capillaris,53.02,13.83
Agrostis capillaris,53.02,13.86
Convallaria majalis,48.5,9.39
Agrostis capillaris,53.01,13.84
Convallaria majalis,48.49,9.42
Agrostis capillaris,53.01,13.83
Agrostis capillaris,53.07,13.93
Convallaria majalis,48.49,9.41
Convallaria majalis,48.44,9.48
Convallaria majalis,48.49,9.41
Agrostis capillaris,53.01,13.84
Agrostis capillaris,53.01,13.85
Agrostis capillaris,53.01,13.84
Agrostis capillaris,53.01,13.83
Agrostis capillaris,53.02,13.83
Agrostis capillaris,53.01,13.84
Agrostis capillaris,53.06,13.88
Agrostis capillaris,53.02,13.84
Convallaria majalis,48.51,9.38
Convallaria majalis,51.12,10.36
Convallaria majalis,48.44,9.48
Convallaria majalis,48.5,9.39
Agrostis capillaris,53.01,13.83
Agrostis capillaris,53.02,13.87
Agrostis capillaris,53.02,13.87
Agrostis capillaris,53.07,13.86
Agrostis capillaris,53.07,13.85
Agrostis capillaris,53.01,13.87
Agrostis capillaris,53.06,13.85
Convallaria majalis,51.18,10.37
Agrostis capillaris,53.01,13.86
Convallaria majalis,51.18,10.38
Convallaria majalis,48.37,9.41
Convallaria majalis,51.19,10.37
Convallaria majalis,48.44,9.48
Convallaria majalis,48.37,9.42
Convallaria majalis,51.19,10.38
Agrostis capillaris,53.01,13.85
Agrostis capillaris,53.06,13.94
Agrostis capillaris,53.02,13.87
Agrostis capillaris,53.06,13.89
Agrostis capillaris,53.01,13.87
Agrostis capillaris,53.02,13.87
Agrostis capillaris,53.02,13.87
Convallaria majalis,51.19,10.38
Convallaria majalis,51.19,10.36
Agrostis capillaris,53.05,13.93
Agrostis capillaris,53.02,13.84
Agrostis capillaris,53.01,13.84
Agrostis capillaris,51.19,10.3
Agrostis capillaris,51.18,10.38
Agrostis capillaris,51.19,10.36
Agrostis capillaris,51.33,10.36
Agrostis capillaris,53.02,13.83
Agrostis capillaris,53,13.85
Agrostis capillaris,51.37,10.53
Agrostis capillaris,51.19,10.36
Agrostis capillaris,53,13.83
Agrostis capillaris,51.18,10.37
Agrostis capillaris,53.01,13.84
Agrostis capillaris,53.02,13.84
Agrostis capillaris,51.28,10.23
Agrostis capillaris,53.01,13.83
Agrostis capillaris,53.01,13.84
Agrostis capillaris,53.02,13.83
Agrostis capillaris,53.01,13.84
Agrostis capillaris,53.01,13.85
Agrostis capillaris,53.01,13.84
Agrostis capillaris,53.01,13.85
Agrostis capillaris,53.02,13.84
Agrostis capillaris,53,13.85
Agrostis capillaris,53.02,13.83
Agrostis capillaris,53.01,13.83
Agrostis capillaris,51.19,10.3
Agrostis capillaris,51.19,10.3
Agrostis capillaris,53.01,13.84
Agrostis capillaris,51.05,10.49
Agrostis capillaris,53.01,13.83
Agrostis capillaris,48.39,9.26
Ranunculus repens,51.13,10.38
Ranunculus repens,51.34,10.36
Ribes nigrum,48.41,9.43
Ribes rubrum,48.4,9.26
Ribes rubrum,48.38,9.42
Ranunculus repens,51.09,10.45
Ranunculus repens,51.14,10.39
Ranunculus repens,51.14,10.39
Ranunculus repens,53.01,13.85
Deschampsia cespitosa,51.19,10.33
Deschampsia cespitosa,51.19,10.36
Ranunculus repens,51.13,10.37
Ribes rubrum,48.37,9.34
Ranunculus repens,51.24,10.31
Ranunculus repens,51.05,10.49
Ranunculus repens,53,13.84
Ranunculus repens,51.05,10.49
Ranunculus repens,51.05,10.49
Ranunculus repens,53.01,13.85
Ranunculus repens,51.14,10.39
Ranunculus repens,51.15,10.37
Ranunculus repens,51.19,10.31
Ranunculus repens,51.13,10.38
Deschampsia cespitosa,51.05,10.46
Deschampsia cespitosa,51.19,10.32
Deschampsia cespitosa,51.12,10.37
Deschampsia cespitosa,51.12,10.36
Ranunculus repens,51.19,10.32
Ranunculus repens,51.34,10.36
Ranunculus repens,51.33,10.37
Sambucus racemosa,51.14,10.39
Ranunculus repens,51.19,10.32
Ranunculus repens,51.05,10.49
Ranunculus repens,51.19,10.36
Sambucus racemosa,48.39,9.26
Ranunculus repens,48.48,9.48
Sambucus racemosa,48.37,9.23
Ranunculus repens,51.13,10.39
Sambucus racemosa,48.37,9.23
Ranunculus repens,51.33,10.37
Sambucus racemosa,48.37,9.22
Sambucus racemosa,48.37,9.25
Deschampsia cespitosa,51.06,10.47
Deschampsia cespitosa,51.2,10.31
Deschampsia cespitosa,51.06,10.47
Deschampsia cespitosa,51.19,10.33
Ranunculus repens,51.19,10.36
Deschampsia cespitosa,51.05,10.47
Deschampsia cespitosa,51.2,10.31
Deschampsia cespitosa,51.05,10.49
Deschampsia cespitosa,51.05,10.49
Deschampsia cespitosa,51.05,10.5
Deschampsia cespitosa,51.05,10.5
Deschampsia cespitosa,51.19,10.32
Deschampsia cespitosa,51.05,10.5
Ranunculus repens,51.34,10.36
Sambucus racemosa,48.4,9.46
Ranunculus repens,51.33,10.37
Ranunculus repens,51.33,10.37
Ranunculus repens,51.05,10.49
Ranunculus repens,51.37,10.26
Sambucus racemosa,48.38,9.24
Sambucus racemosa,48.38,9.22
Sambucus racemosa,48.48,9.5
Ranunculus repens,51.12,10.37
Sambucus racemosa,48.37,9.26
Ranunculus repens,51.19,10.32
Deschampsia cespitosa,51.05,10.49
Ranunculus repens,51.33,10.36
Sambucus racemosa,48.38,9.24
Ranunculus repens,51.19,10.32
Sambucus racemosa,48.37,9.22
Deschampsia cespitosa,51.05,10.5
Deschampsia cespitosa,51.19,10.36
Deschampsia cespitosa,51.19,10.32
Deschampsia cespitosa,51.05,10.47
Deschampsia cespitosa,51.05,10.49
Deschampsia cespitosa,51.05,10.48
Deschampsia cespitosa,51.05,10.48
Deschampsia cespitosa,51.36,10.26
Deschampsia cespitosa,51.19,10.33
Deschampsia cespitosa,51.19,10.36
Ranunculus repens,51.13,10.37
Ranunculus repens,48.38,9.41
Ranunculus repens,51.27,10.21
Sambucus racemosa,51.14,10.39
Sambucus racemosa,51.27,10.23
Ranunculus repens,51.11,10.37
Ranunculus repens,51.05,10.49
Sambucus racemosa,48.37,9.23
Ranunculus repens,51.18,10.38
Ranunculus repens,51.11,10.37
Ranunculus repens,51.12,10.36
Ranunculus repens,51.19,10.3
Deschampsia cespitosa,51.19,10.36
Deschampsia cespitosa,51.19,10.32
Deschampsia cespitosa,51.19,10.33
Deschampsia cespitosa,51.05,10.49
Deschampsia cespitosa,51.19,10.33
Deschampsia cespitosa,51.33,10.36
Deschampsia cespitosa,51.2,10.31
Deschampsia cespitosa,51.19,10.32
Deschampsia cespitosa,51.19,10.32
Deschampsia cespitosa,51.19,10.36
Deschampsia cespitosa,51.19,10.32
Ranunculus repens,51.21,10.39
Ranunculus repens,51.19,10.36
Ranunculus repens,51.28,10.21
Ranunculus repens,51.28,10.23
Ranunculus repens,51.18,10.38
Ranunculus repens,51.05,10.47
Ranunculus repens,51.33,10.37
Ranunculus repens,51.12,10.37
Ranunculus repens,51.14,10.39
Deschampsia cespitosa,51.11,10.37
Deschampsia cespitosa,51.33,10.36
Deschampsia cespitosa,51.18,10.38
Deschampsia cespitosa,51.27,10.22
Deschampsia cespitosa,51.21,10.39
Deschampsia cespitosa,51.12,10.37
Deschampsia cespitosa,51.12,10.37
Deschampsia cespitosa,51.12,10.36
Deschampsia cespitosa,51.28,10.23
Deschampsia cespitosa,51.12,10.36
Deschampsia cespitosa,51.12,10.37
Deschampsia cespitosa,51.05,10.49
Deschampsia cespitosa,51.05,10.47
Deschampsia cespitosa,51.27,10.23
Deschampsia cespitosa,51.28,10.21
Deschampsia cespitosa,51.12,10.37
Deschampsia cespitosa,51.12,10.36
Deschampsia cespitosa,51.12,10.36
Deschampsia cespitosa,51.27,10.23
Deschampsia cespitosa,51.05,10.47
Deschampsia cespitosa,51.12,10.37
Deschampsia cespitosa,51.12,10.37
Deschampsia cespitosa,51.05,10.49
Deschampsia cespitosa,51.21,10.39
Deschampsia cespitosa,51.12,10.36
Deschampsia cespitosa,51.12,10.36
Deschampsia cespitosa,51.05,10.47
Deschampsia cespitosa,51.05,10.47
Deschampsia cespitosa,51.12,10.37
Deschampsia cespitosa,51.05,10.47
Deschampsia cespitosa,51.05,10.49
Deschampsia cespitosa,51.05,10.49
Deschampsia cespitosa,51.13,10.37
Deschampsia cespitosa,51.12,10.37
Deschampsia cespitosa,51.06,10.47
Deschampsia cespitosa,51.19,10.31
Deschampsia cespitosa,51.12,10.37
Deschampsia cespitosa,51.12,10.37
Deschampsia cespitosa,51.12,10.37
Deschampsia cespitosa,51.13,10.36
Deschampsia cespitosa,51.27,10.24
Deschampsia cespitosa,51.05,10.48
Deschampsia cespitosa,51.11,10.37
Deschampsia cespitosa,51.18,10.38
Deschampsia cespitosa,51.12,10.37
Deschampsia cespitosa,51.12,10.36
Deschampsia cespitosa,51.27,10.24
Deschampsia cespitosa,51.28,10.21
Deschampsia cespitosa,51.21,10.39
Hedera helix,48.49,9.41
Hedera helix,53.01,13.87
Hedera helix,48.47,9.43
Hedera helix,52.92,13.85
Hedera helix,53.05,13.94
Hedera helix,48.49,9.31
Hedera helix,48.5,9.4
Hedera helix,51.13,10.38
Hedera helix,48.48,9.41
Hedera helix,51.26,10.22
Hedera helix,51.11,10.41
Hedera helix,53.06,13.94
Hedera helix,53.06,13.94
